,osmid_start,x_start,y_start,osmid_end,x_end,y_end,Time
6608,66468665,-71.092357,42.441233,66445763,-71.121871,42.41055,17:30
6609,66422683,-71.127038,42.410869,1729919695,-71.0851766,42.4098976,8:30
6610,66422683,-71.127038,42.410869,1729919695,-71.0851766,42.4098976,15:30
6611,66422683,-71.127038,42.410869,1729919695,-71.0851766,42.4098976,17:30
6612,66452245,-71.123088,42.409608,66452543,-71.0955253,42.4008497,8:30
6613,66452245,-71.123088,42.409608,66452543,-71.0955253,42.4008497,15:30
6614,66452245,-71.123088,42.409608,66452543,-71.0955253,42.4008497,17:30
6615,66482490,-71.093848,42.4422741,2295021981,-71.1211007,42.4098316,8:30
6616,66482490,-71.093848,42.4422741,2295021981,-71.1211007,42.4098316,15:30
6617,66482490,-71.093848,42.4422741,2295021981,-71.1211007,42.4098316,17:30
6618,66432078,-71.124367,42.410029,66422615,-71.0917714,42.4407526,8:30
6619,66432078,-71.124367,42.410029,66422615,-71.0917714,42.4407526,15:30
6620,66432078,-71.124367,42.410029,66422615,-71.0917714,42.4407526,17:30
6621,66473351,-71.095221,42.432548,66459547,-71.121782,42.411549,8:30
6622,66473351,-71.095221,42.432548,66459547,-71.121782,42.411549,15:30
6623,66473351,-71.095221,42.432548,66459547,-71.121782,42.411549,17:30
6624,66484409,-71.0950324,42.4278883,66445763,-71.121871,42.41055,8:30
6625,66484409,-71.0950324,42.4278883,66445763,-71.121871,42.41055,15:30
6626,66484409,-71.0950324,42.4278883,66445763,-71.121871,42.41055,17:30
6627,66436715,-71.0889002,42.4320236,66474482,-71.124367,42.411962,8:30
6628,66436715,-71.0889002,42.4320236,66474482,-71.124367,42.411962,15:30
6629,66436715,-71.0889002,42.4320236,66474482,-71.124367,42.411962,17:30
6630,66483089,-71.0943239,42.4306754,66435140,-71.120518,42.408775,8:30
6631,66483089,-71.0943239,42.4306754,66435140,-71.120518,42.408775,15:30
